Time,max
190821020115,12.0
190821020128,12.5
190821020141,11.7
190821020155,13.0
190821020208,12.3
190821020222,12.7
190821020235,12.6
190821020248,12.5
190821020302,11.7
190821020315,11.7
190821020328,12.2
190821020342,12.5
190821020355,13.0
190821020408,11.9
190821020422,11.8
190821020435,11.3
190821020448,11.3
190821020502,11.1
190821020515,11.8
190821020528,11.6
190821020541,12.3
190821020555,11.8
190821020608,11.4
190821020621,12.1
190821020635,12.1
190821020648,10.8
190821020701,11.3
190821020715,11.7
190821020728,11.8
190821020742,11.9
190821020755,12.2
190821020808,11.9
190821020822,12.1
190821020835,11.5
190821020848,11.1
190821020902,11.5
190821020915,12.4
190821020928,11.4
190821020942,11.2
190821020955,11.5
190821021008,12.1
190821021022,11.7
190821021035,11.8
190821021048,11.6
190821021102,11.2
190821021115,10.7
190821021128,11.3
190821021142,11.9
190821021155,11.4
190821021209,11.3
190821021222,12.2
190821021235,10.7
190821021248,10.8
190821021302,10.4
190821021315,10.7
190821021328,10.5
190821021342,10.9
190821021355,10.0
190821021408,10.9
190821021422,10.8
190821021435,10.3
190821021448,11.0
190821021502,11.2
190821021515,11.1
190821021528,11.6
190821021542,11.6
190821021555,10.1
190821021609,10.3
190821021622,10.3
190821021635,10.0
190821021649,10.5
190821021702,10.8
190821021715,12.0
190821021728,10.6
190821021742,11.4
190821021755,10.7
190821021808,10.5
190821021822,11.4
190821021835,11.0
190821021848,11.1
190821021902,10.7
190821021915,10.7
190821021928,10.8
190821021942,10.9
190821021955,10.2
190821022008,9.9
190821022022,10.1
190821022035,10.7
190821022048,10.4
190821022102,10.7
190821022115,10.6
190821022128,10.7
190821022142,11.1
190821022155,10.8
190821022208,10.3
190821022222,10.4
190821022235,10.9
190821022248,10.5
190821022302,10.5
190821022315,10.3
190821022328,9.7
190821022342,10.7
190821022355,10.1
190821022408,10.6
190821022422,11.1
190821022435,10.5
190821022448,10.3
190821022502,10.5
190821022515,10.5
190821022528,10.7
190821022542,12.1
190821022555,10.6
190821022608,10.5
190821022622,11.3
190821022635,10.7
190821022648,10.4
190821022702,10.4
190821022715,10.0
190821022728,11.3
190821022742,11.1
190821022755,10.1
190821022808,10.6
190821022822,10.1
190821022835,10.2
190821022849,10.3
190821022902,11.1
190821022915,10.4
190821022929,10.7
190821022942,9.8
190821022956,10.7
190821023009,10.5
190821023022,10.0
190821023036,10.5
190821023049,10.3
190821023102,11.1
190821023116,11.3
190821023129,11.3
190821023142,10.9
190821023156,10.9
190821023209,13.1
190821023222,10.3
190821023236,11.0
190821023249,10.4
190821023302,9.9
190821023316,9.5
190821023329,9.6
190821023342,9.6
190821023356,10.5
190821023409,10.2
190821023422,9.6
190821023436,10.7
190821023449,10.5
190821023502,10.2
190821023516,10.0
190821023529,10.2
190821023542,10.2
190821023556,9.6
190821023609,9.8
190821023622,10.2
190821023636,10.4
190821023649,10.2
190821023703,11.3
190821023716,10.8
190821023729,10.2
190821023743,10.3
190821023756,9.8
190821023809,10.0
190821023823,10.3
190821023836,9.8
190821023850,9.8
190821023903,10.0
190821023916,9.3
190821023930,10.9
190821023943,10.0
190821023956,11.2
190821024010,10.7
190821024023,10.8
190821024036,10.5
190821024050,11.8
190821024103,10.5
190821024116,10.9
190821024130,11.0
190821024143,10.5
190821024156,10.5
190821024210,10.2
190821024223,10.3
190821024236,10.1
190821024250,10.4
190821024303,10.4
190821024316,10.5
190821024330,11.4
190821024343,10.0
190821024356,11.4
190821024410,11.3
190821024423,11.1
190821024437,11.3
190821024450,10.0
190821024503,10.9
190821024517,10.8
190821024530,11.7
190821024543,11.1
190821024557,12.3
190821024610,12.0
190821024623,10.3
190821024637,11.0
190821024650,11.6
190821024703,11.2
190821024717,11.5
190821024730,10.9
190821024743,11.0
190821024757,11.3
190821024810,11.2
190821024823,10.4
190821024837,10.7
190821024850,10.6
190821024903,10.5
190821024917,11.3
190821024930,10.4
190821024943,10.5
190821024957,10.8
190821025010,10.0
190821025023,10.4
190821025037,11.0
190821025050,10.8
190821025103,11.0
190821025117,10.4
190821025130,10.6
190821025143,10.1
190821025157,10.4
190821025210,10.2
190821025223,10.6
190821025237,11.1
190821025250,10.4
190821025303,10.6
190821025317,10.9
190821025330,10.5
190821025343,10.8
190821025357,11.5
190821025410,10.6
190821025423,11.1
190821025437,10.9
190821025450,9.9
190821025503,10.8
190821025517,10.9
190821025530,10.4
190821025543,10.6
190821025557,10.2
190821025610,10.5
190821025623,10.8
190821025637,10.7
190821025650,10.4
190821025703,10.2
190821025717,10.4
190821025730,10.0
190821025743,10.3
190821025757,10.2
190821025810,9.3
190821025823,9.7
190821025837,9.8
190821025850,10.6
190821025903,10.2
190821025917,10.3
190821025930,10.1
190821025943,10.6
190821025957,12.5
190821030010,9.4
190821030023,9.4
190821030037,9.2
190821030050,8.7
190821030103,9.1
190821030117,9.1
190821030130,9.1
190821030143,9.0
190821030157,9.1
190821030210,9.3
190821030223,8.9
190821030237,10.7
190821030250,9.4
190821030303,9.3
190821030317,9.6
190821030330,9.1
190821030343,9.6
190821030357,9.9
190821030410,9.4
190821030423,9.4
190821030437,10.4
190821030450,9.4
190821030503,8.7
190821030517,9.8
190821030530,9.9
190821030543,10.4
190821030557,9.7
190821030610,9.2
190821030623,9.2
190821030637,9.6
190821030650,9.3
190821030703,9.4
190821030717,9.5
190821030730,8.7
190821030743,9.5
190821030757,9.8
190821030810,9.6
190821030824,9.1
190821030837,9.5
190821030850,9.7
190821030904,10.0
190821030917,10.2
190821030930,9.1
190821030944,9.5
190821030957,9.8
190821031010,9.4
190821031024,9.8
190821031037,9.3
190821031050,8.9
190821031104,9.8
190821031117,9.6
190821031130,10.1
190821031144,9.9
190821031157,9.7
190821031210,9.0
190821031224,9.8
190821031237,9.9
190821031250,9.7
190821031304,10.3
190821031317,9.4
190821031330,10.1
190821031344,9.9
190821031357,10.3
190821031410,10.0
190821031424,9.4
190821031437,10.0
190821031450,10.1
190821031504,10.3
190821031517,9.8
190821031531,9.5
190821031544,9.0
190821031557,10.4
190821031611,10.8
190821031624,10.2
190821031637,10.5
190821031651,10.4
190821031704,10.3
190821031717,10.3
190821031731,10.0
190821031744,9.6
190821031758,10.3
190821031811,11.0
190821031824,10.7
190821031838,10.6
190821031851,9.8
190821031904,10.3
190821031918,10.9
190821031931,10.3
190821031944,11.0
190821031958,12.1
190821032011,11.1
190821032024,10.9
190821032038,10.6
190821032051,10.7
190821032104,11.0
190821032118,10.7
190821032131,10.7
190821032144,10.6
190821032158,11.3
190821032211,11.2
190821032225,11.6
190821032238,11.2
190821032251,10.3
190821032305,10.5
190821032318,10.7
190821032331,10.6
190821032345,10.7
190821032358,10.5
190821032411,10.6
190821032425,10.0
190821032438,10.1
190821032451,10.1
190821032505,10.2
190821032518,9.8
190821032531,11.1
190821032545,10.7
190821032558,10.8
190821032611,10.6
190821032625,13.3
190821032638,10.8
190821032651,10.7
190821032705,13.5
190821032718,10.8
190821032731,10.7
190821032745,11.4
190821032758,10.9
190821032811,11.6
190821032825,12.1
190821032838,11.4
190821032851,11.2
190821032905,11.5
190821032918,10.6
190821032931,11.3
190821032945,11.8
190821032958,11.7
190821033011,11.9
190821033025,11.3
190821033038,10.6
190821033051,10.4
190821033105,10.4
190821033118,10.3
190821033131,10.0
190821033145,10.1
190821033158,9.5
190821033211,10.4
190821033225,10.9
190821033238,9.7
190821033251,10.3
190821033305,11.2
190821033318,10.6
190821033332,10.5
190821033345,11.2
190821033358,11.0
190821033412,11.2
190821033425,10.9
190821033438,10.6
190821033452,11.1
190821033505,11.4
190821033518,10.6
190821033532,10.5
190821033545,10.5
190821033558,10.2
190821033612,10.8
190821033625,10.6
190821033638,10.2
190821033652,10.5
190821033705,11.0
190821033718,10.5
190821033732,11.0
190821033745,10.4
190821033758,11.0
190821033812,11.5
190821033825,11.1
190821033838,12.4
190821033852,12.0
190821033905,11.4
190821033918,11.0
190821033931,12.5
190821033945,12.3
190821033958,12.0
190821034011,12.1
190821034025,11.4
190821034038,12.0
190821034051,12.5
190821034105,12.0
190821034118,11.5
190821034131,13.4
190821034145,13.1
190821034158,11.8
190821034211,12.2
190821034225,12.6
190821034238,13.0
190821034251,12.6
190821034305,13.2
190821034318,12.5
190821034331,11.9
190821034345,12.5
190821034358,11.2
190821034411,12.0
190821034425,11.9
190821034438,12.8
190821034451,12.6
190821034505,12.7
190821034518,12.2
190821034531,12.0
190821034545,12.2
190821034558,11.7
190821034611,11.5
190821034625,12.1
190821034638,11.1
190821034651,11.8
190821034705,12.7
190821034718,12.0
190821034731,11.6
190821034745,11.3
190821034758,11.1
190821034811,11.9
190821034825,12.2
190821034838,11.4
190821034852,12.3
190821034905,12.0
190821034918,12.0
190821034932,12.1
190821034945,11.4
190821034958,11.6
190821035012,11.2
190821035025,11.5
190821035038,11.7
190821035052,12.3
190821035105,11.6
190821035119,12.0
190821035132,12.0
190821035145,11.4
190821035159,11.5
190821035212,11.0
190821035225,11.1
190821035239,12.0
190821035252,11.8
190821035305,12.0
190821035319,11.4
190821035332,10.6
190821035345,10.8
190821035359,11.1
190821035412,10.7
190821035426,11.3
190821035439,11.3
190821035452,11.0
190821035506,10.7
190821035519,10.1
190821035532,10.5
190821035546,10.6
190821035559,10.6
190821035612,10.4
190821035626,10.7
190821035639,11.9
190821035652,11.4
190821035706,11.4
190821035719,10.6
190821035733,10.5
190821035746,10.5
190821035759,10.0
190821035813,11.2
190821035826,10.7
190821035839,11.0
190821035852,10.8
190821035906,10.9
190821035919,10.8
190821035933,10.5
190821035946,11.5
190821035959,12.3
190821040013,11.9
190821040026,11.5
190821040039,10.9
190821040053,11.1
190821040106,10.2
190821040119,10.9
190821040133,10.9
190821040146,10.3
190821040159,11.1
190821040213,11.8
190821040226,10.9
190821040239,10.4
190821040253,10.6
190821040306,10.7
190821040319,10.2
190821040333,10.3
190821040346,9.8
190821040359,9.7
190821040413,10.2
190821040426,10.0
190821040439,9.4
190821040453,9.5
190821040506,10.1
190821040519,9.6
190821040533,10.7
190821040546,9.9
190821040600,10.4
190821040613,10.2
190821040626,10.6
190821040640,10.3
190821040653,10.5
190821040706,9.2
190821040720,9.1
190821040733,9.7
190821040746,9.7
190821040800,9.4
190821040813,9.2
190821040827,10.0
190821040840,9.5
190821040853,9.5
190821040907,9.6
190821040920,9.8
190821040933,9.5
190821040947,9.2
190821041000,9.3
190821041013,9.5
190821041027,10.5
190821041040,10.2
190821041053,10.2
190821041107,10.2
190821041120,10.4
190821041134,11.2
190821041147,11.2
190821041200,11.5
190821041214,11.2
190821041227,11.5
190821041240,11.1
190821041254,11.2
190821041307,10.5
190821041320,11.0
190821041334,12.1
190821041347,11.3
190821041400,11.5
190821041414,11.7
190821041427,11.0
190821041440,11.7
190821041454,12.8
190821041507,12.4
190821041521,12.0
190821041534,11.7
190821041547,12.0
190821041601,12.4
190821041614,12.7
190821041627,11.5
190821041641,13.0
190821041654,12.6
190821041707,12.3
190821041721,13.1
190821041734,12.8
190821041747,12.8
190821041801,13.2
190821041814,12.7
190821041827,11.6
190821041841,12.1
190821041854,11.7
190821041907,11.5
190821041921,12.9
190821041934,11.9
190821041947,11.9
190821042001,12.5
190821042014,11.9
190821042027,12.6
190821042041,12.1
190821042054,12.3
190821042107,11.7
190821042121,12.2
190821042134,11.7
190821042147,12.5
190821042201,12.2
190821042214,12.3
190821042227,12.1
190821042241,12.0
190821042254,12.3
190821042307,12.2
190821042321,12.8
190821042334,12.7
190821042347,11.9
190821042400,12.5
190821042414,12.3
190821042427,11.6
190821042440,12.9
190821042453,12.4
190821042507,12.2
190821042520,12.0
190821042533,12.6
190821042546,13.0
190821042600,12.8
190821042613,12.0
190821042626,12.0
190821042640,12.6
190821042653,12.4
190821042706,12.7
190821042720,12.3
190821042733,12.3
190821042746,12.1
190821042759,11.8
190821042813,12.6
190821042826,12.3
190821042839,12.4
190821042853,11.9
190821042906,12.7
190821042919,12.6
190821042932,12.4
190821042946,12.7
190821042959,12.3
190821043012,12.1
190821043025,12.4
190821043039,12.9
190821043052,11.6
190821043105,12.0
190821043119,12.7
190821043132,12.2
190821043145,11.4
190821043159,13.0
190821043212,12.0
190821043225,11.4
190821043239,11.9
190821043252,11.2
190821043305,12.2
190821043318,12.7
190821043332,11.8
190821043345,11.5
190821043358,12.3
190821043412,11.5
190821043425,10.9
190821043438,11.1
190821043452,10.6
190821043505,10.7
190821043518,10.2
190821043532,10.5
190821043545,10.8
190821043558,10.6
190821043612,10.9
190821043625,10.2
190821043638,10.8
190821043652,10.9
190821043705,11.1
190821043718,11.0
190821043732,10.5
190821043745,10.3
190821043758,10.3
190821043812,11.6
190821043825,10.5
190821043838,10.6
190821043852,10.9
190821043905,9.8
190821043918,10.7
190821043932,9.8
190821043945,9.7
190821043958,10.0
190821044012,10.9
190821044025,9.9
190821044038,10.4
190821044052,10.4
190821044105,10.0
190821044118,11.0
190821044132,11.0
