index,Date,time,max,region,label,record
227,2019-08-21,00:50:33,10.5,< 1.5,,
228,2019-08-21,00:50:46,11.4,< 1.5,,
229,2019-08-21,00:50:59,10.3,< 1.5,,
230,2019-08-21,00:51:13,10.6,< 1.5,,
231,2019-08-21,00:51:26,11.1,< 1.5,,
232,2019-08-21,00:51:40,11.0,< 1.5,,
233,2019-08-21,00:51:53,10.6,< 1.5,,
234,2019-08-21,00:52:06,11.7,< 1.5,,
235,2019-08-21,00:52:20,10.1,< 1.5,,
236,2019-08-21,00:52:33,10.3,< 1.5,,
237,2019-08-21,00:52:46,11.2,< 1.5,,
238,2019-08-21,00:53:00,11.0,< 1.5,,
239,2019-08-21,00:53:13,11.9,< 1.5,,
240,2019-08-21,00:53:26,10.7,< 1.5,,
241,2019-08-21,00:53:39,11.5,< 1.5,,
242,2019-08-21,00:53:53,11.4,< 1.5,,
243,2019-08-21,00:54:06,11.5,< 1.5,,
244,2019-08-21,00:54:19,11.1,< 1.5,,
245,2019-08-21,00:54:33,11.2,< 1.5,,
246,2019-08-21,00:54:46,11.6,< 1.5,,
247,2019-08-21,00:54:59,11.0,< 1.5,,
248,2019-08-21,00:55:13,11.4,< 1.5,,
249,2019-08-21,00:55:26,11.5,< 1.5,,
250,2019-08-21,00:55:39,10.3,< 1.5,,
251,2019-08-21,00:55:53,11.3,< 1.5,,
252,2019-08-21,00:56:06,10.8,< 1.5,,
253,2019-08-21,00:56:19,10.2,< 1.5,,
254,2019-08-21,00:56:33,10.6,< 1.5,,
255,2019-08-21,00:56:46,11.3,< 1.5,,
256,2019-08-21,00:56:59,10.4,< 1.5,,
257,2019-08-21,00:57:13,10.3,< 1.5,,
258,2019-08-21,00:57:26,11.2,< 1.5,,
259,2019-08-21,00:57:40,12.3,< 1.5,,
260,2019-08-21,00:57:53,10.3,< 1.5,,
261,2019-08-21,00:58:06,10.5,< 1.5,,
262,2019-08-21,00:58:19,10.5,< 1.5,,
263,2019-08-21,00:58:33,10.4,< 1.5,,
264,2019-08-21,00:58:46,9.8,< 1.5,,
265,2019-08-21,00:59:00,9.4,< 1.5,,
266,2019-08-21,00:59:13,10.6,< 1.5,,
267,2019-08-21,00:59:26,10.4,< 1.5,,
268,2019-08-21,00:59:40,10.5,< 1.5,,
269,2019-08-21,00:59:53,11.2,< 1.5,,
270,2019-08-21,01:00:06,9.8,< 1.5,,
271,2019-08-21,01:00:20,10.6,< 1.5,,
272,2019-08-21,01:00:33,10.4,< 1.5,,
273,2019-08-21,01:00:46,10.1,< 1.5,,
274,2019-08-21,01:01:00,10.4,< 1.5,,
275,2019-08-21,01:01:13,12.1,< 1.5,,
276,2019-08-21,01:01:27,9.7,< 1.5,,
277,2019-08-21,01:01:40,10.4,< 1.5,,
278,2019-08-21,01:01:53,10.8,< 1.5,,
279,2019-08-21,01:02:07,10.2,< 1.5,,
